user_id,animal,est_i,estimation
91490575,pigeon,1,18
91490575,pigeon,2,15
91490575,pigeon,3,12
91490575,pigeon,4,10
91490575,pigeon,5,15
69882995,mouse,0,40
69882995,mouse,1,30
69882995,mouse,2,40
69882995,mouse,3,50
69882995,mouse,4,9
69882995,mouse,5,40
69882995,pigeon,0,70
69882995,pigeon,1,30
69882995,pigeon,2,40
69882995,pigeon,3,60
69882995,pigeon,4,30
69882995,pigeon,5,40
69882995,rabbit,0,40
69882995,rabbit,1,30
69882995,rabbit,2,20
69882995,rabbit,3,60
69882995,rabbit,4,50
69882995,rabbit,5,40
48512613,mouse,0,60
48512613,mouse,1,47
48512613,mouse,2,54
48512613,mouse,3,70
48512613,mouse,4,83
48512613,mouse,5,90
48512613,rabbit,0,51
48512613,rabbit,1,61
48512613,rabbit,2,46
48512613,rabbit,3,54
48512613,rabbit,4,76
48512613,rabbit,5,63
48512613,pigeon,0,73
48512613,pigeon,1,38
48512613,pigeon,2,37
48512613,pigeon,3,61
48512613,pigeon,4,52
48512613,pigeon,5,31
75480231,mouse,0,90
75480231,mouse,1,90
75480231,mouse,2,90
75480231,mouse,3,96
75480231,mouse,4,90
75480231,mouse,5,94
75480231,pigeon,0,70
75480231,pigeon,1,59
75480231,pigeon,2,50
75480231,pigeon,3,48
75480231,pigeon,4,46
75480231,pigeon,5,79
75480231,rabbit,0,92
75480231,rabbit,1,57
75480231,rabbit,2,69
75480231,rabbit,3,58
75480231,rabbit,4,90
75480231,rabbit,5,62
07901122,pigeon,0,40
07901122,pigeon,1,60
07901122,pigeon,2,35
07901122,pigeon,3,20
07901122,pigeon,4,25
07901122,pigeon,5,30
07901122,mouse,0,100
07901122,mouse,1,95
07901122,mouse,2,90
07901122,mouse,3,85
07901122,mouse,4,90
07901122,mouse,5,87
07901122,rabbit,0,50
07901122,rabbit,1,45
07901122,rabbit,2,50
07901122,rabbit,3,53
07901122,rabbit,4,55
07901122,rabbit,5,55
63295586,pigeon,0,50
63295586,pigeon,1,50
63295586,pigeon,2,35
63295586,pigeon,3,70
63295586,pigeon,4,60
63295586,pigeon,5,80
63295586,mouse,0,90
63295586,mouse,1,50
63295586,mouse,2,30
63295586,mouse,3,25
63295586,mouse,4,40
63295586,mouse,5,60
63295586,rabbit,0,30
63295586,rabbit,1,40
63295586,rabbit,2,90
63295586,rabbit,3,50
63295586,rabbit,4,100
63295586,rabbit,5,60
23803370,rabbit,0,90
23803370,rabbit,1,60
23803370,rabbit,2,60
23803370,rabbit,3,40
23803370,rabbit,4,40
23803370,rabbit,5,50
23803370,pigeon,0,60
23803370,pigeon,1,60
23803370,pigeon,2,75
23803370,pigeon,3,60
23803370,pigeon,4,30
23803370,pigeon,5,40
23803370,mouse,0,70
23803370,mouse,1,70
23803370,mouse,2,60
23803370,mouse,3,90
23803370,mouse,4,60
23803370,mouse,5,50
33127013,mouse,0,67
33127013,mouse,1,79
33127013,mouse,2,82
33127013,mouse,3,76
33127013,mouse,4,83
33127013,mouse,5,85
33127013,rabbit,0,87
33127013,rabbit,1,43
33127013,rabbit,2,42
33127013,rabbit,3,35
33127013,rabbit,4,33
33127013,rabbit,5,46
33127013,pigeon,0,40
33127013,pigeon,1,55
33127013,pigeon,2,45
33127013,pigeon,3,46
33127013,pigeon,4,56
33127013,pigeon,5,50
94045978,mouse,0,30
94045978,mouse,1,30
94045978,mouse,2,40
94045978,mouse,3,80
94045978,mouse,4,20
94045978,mouse,5,60
94045978,pigeon,0,80
94045978,pigeon,1,70
94045978,pigeon,2,70
94045978,pigeon,3,60
94045978,pigeon,4,70
94045978,pigeon,5,40
94045978,rabbit,0,40
94045978,rabbit,1,50
94045978,rabbit,2,50
94045978,rabbit,3,40
94045978,rabbit,4,40
94045978,rabbit,5,60
12465516,mouse,0,85
12465516,mouse,1,70
12465516,mouse,2,80
12465516,mouse,3,80
12465516,mouse,4,75
12465516,mouse,5,75
12465516,rabbit,0,75
12465516,rabbit,1,70
12465516,rabbit,2,75
12465516,rabbit,3,60
12465516,rabbit,4,75
12465516,rabbit,5,50
12465516,pigeon,0,50
12465516,pigeon,1,40
12465516,pigeon,2,35
12465516,pigeon,3,35
12465516,pigeon,4,30
12465516,pigeon,5,40
65028886,rabbit,0,30
65028886,rabbit,1,20
65028886,rabbit,2,50
65028886,rabbit,3,75
65028886,rabbit,4,70
65028886,rabbit,5,90
65028886,mouse,0,60
65028886,mouse,1,45
65028886,mouse,2,45
65028886,mouse,3,70
65028886,mouse,4,70
65028886,mouse,5,70
65028886,pigeon,0,30
65028886,pigeon,1,60
65028886,pigeon,2,40
65028886,pigeon,3,30
65028886,pigeon,4,10
65028886,pigeon,5,40
33530548,rabbit,0,75
33530548,rabbit,1,68
33530548,rabbit,2,93
33530548,rabbit,3,65
33530548,rabbit,4,63
33530548,rabbit,5,50
33530548,mouse,0,85
33530548,mouse,1,72
33530548,mouse,2,80
33530548,mouse,3,74
33530548,mouse,4,62
33530548,mouse,5,68
33530548,pigeon,0,94
33530548,pigeon,1,75
33530548,pigeon,2,63
33530548,pigeon,3,53
33530548,pigeon,4,41
33530548,pigeon,5,51
63762982,mouse,0,45
63762982,mouse,1,20
63762982,mouse,2,40
63762982,mouse,3,98
63762982,mouse,4,55
63762982,mouse,5,100
63762982,pigeon,0,35
63762982,pigeon,1,20
63762982,pigeon,2,50
63762982,pigeon,3,25
63762982,pigeon,4,55
63762982,pigeon,5,60
63762982,rabbit,0,100
63762982,rabbit,1,45
63762982,rabbit,2,35
63762982,rabbit,3,20
63762982,rabbit,4,95
63762982,rabbit,5,70
57748378,rabbit,0,30
57748378,rabbit,1,35
57748378,rabbit,2,40
57748378,rabbit,3,50
57748378,rabbit,4,60
57748378,rabbit,5,55
57748378,mouse,0,25
57748378,mouse,1,65
57748378,mouse,2,35
57748378,mouse,3,70
57748378,mouse,4,45
57748378,mouse,5,35
57748378,pigeon,0,60
57748378,pigeon,1,50
57748378,pigeon,2,55
57748378,pigeon,3,25
57748378,pigeon,4,40
57748378,pigeon,5,45
13012623,rabbit,0,80
13012623,rabbit,1,60
13012623,rabbit,2,60
13012623,rabbit,3,10
13012623,rabbit,4,30
13012623,rabbit,5,40
13012623,mouse,0,10
13012623,mouse,1,10
13012623,mouse,2,0
13012623,mouse,3,20
13012623,mouse,4,30
13012623,mouse,5,20
13012623,pigeon,0,20
13012623,pigeon,1,35
13012623,pigeon,2,15
13012623,pigeon,3,5
13012623,pigeon,4,45
13012623,pigeon,5,60
29170080,rabbit,0,30
29170080,rabbit,1,40
29170080,rabbit,2,40
29170080,rabbit,3,45
29170080,rabbit,4,40
29170080,rabbit,5,50
29170080,mouse,0,45
29170080,mouse,1,40
29170080,mouse,2,45
29170080,mouse,3,50
29170080,mouse,4,55
29170080,mouse,5,50
29170080,pigeon,0,45
29170080,pigeon,1,40
29170080,pigeon,2,45
29170080,pigeon,3,50
29170080,pigeon,4,45
29170080,pigeon,5,50
24849364,mouse,0,85
24849364,mouse,1,95
24849364,mouse,2,60
24849364,mouse,3,88
24849364,mouse,4,80
24849364,mouse,5,95
24849364,pigeon,0,60
24849364,pigeon,1,55
24849364,pigeon,2,50
24849364,pigeon,3,52
24849364,pigeon,4,48
24849364,pigeon,5,45
24849364,rabbit,0,60
24849364,rabbit,1,55
24849364,rabbit,2,70
24849364,rabbit,3,50
24849364,rabbit,4,45
24849364,rabbit,5,52
45921496,pigeon,0,100
45921496,pigeon,1,100
45921496,pigeon,2,85
45921496,pigeon,3,66
45921496,pigeon,4,55
45921496,pigeon,5,70
45921496,mouse,0,18
45921496,mouse,1,29
45921496,mouse,2,26
45921496,mouse,3,41
45921496,mouse,4,67
45921496,mouse,5,60
45921496,rabbit,0,55
45921496,rabbit,1,33
45921496,rabbit,2,54
45921496,rabbit,3,53
45921496,rabbit,4,53
45921496,rabbit,5,36
19760264,rabbit,0,70
19760264,rabbit,1,85
19760264,rabbit,2,50
19760264,rabbit,3,100
19760264,rabbit,4,100
19760264,rabbit,5,40
19760264,pigeon,0,100
19760264,pigeon,1,100
19760264,pigeon,2,100
19760264,pigeon,3,100
19760264,pigeon,4,85
19760264,pigeon,5,50
19760264,mouse,0,80
19760264,mouse,1,83
19760264,mouse,2,25
19760264,mouse,3,80
19760264,mouse,4,100
19760264,mouse,5,50
68679750,pigeon,0,56
68679750,pigeon,1,30
68679750,pigeon,2,55
68679750,pigeon,3,26
68679750,pigeon,4,39
68679750,pigeon,5,59
68679750,mouse,0,98
68679750,mouse,1,73
68679750,mouse,2,41
68679750,mouse,3,61
68679750,mouse,4,79
68679750,mouse,5,74
68679750,rabbit,0,56
68679750,rabbit,1,46
68679750,rabbit,2,50
68679750,rabbit,3,52
68679750,rabbit,4,74
68679750,rabbit,5,40
94801747,rabbit,0,85
94801747,rabbit,1,45
94801747,rabbit,2,100
94801747,rabbit,3,5
94801747,rabbit,4,55
94801747,rabbit,5,70
94801747,pigeon,0,70
94801747,pigeon,1,60
94801747,pigeon,2,75
94801747,pigeon,3,45
94801747,pigeon,4,65
94801747,pigeon,5,75
94801747,mouse,0,30
94801747,mouse,1,80
94801747,mouse,2,70
94801747,mouse,3,75
94801747,mouse,4,80
94801747,mouse,5,70
74931955,mouse,0,45
74931955,mouse,1,40
74931955,mouse,2,65
74931955,mouse,3,65
74931955,mouse,4,60
74931955,mouse,5,65
74931955,rabbit,0,75
74931955,rabbit,1,70
74931955,rabbit,2,75
74931955,rabbit,3,70
74931955,rabbit,4,70
74931955,rabbit,5,75
74931955,pigeon,0,35
74931955,pigeon,1,30
74931955,pigeon,2,25
74931955,pigeon,3,25
74931955,pigeon,4,20
74931955,pigeon,5,25
19369402,rabbit,0,35
19369402,rabbit,1,65
19369402,rabbit,2,75
19369402,rabbit,3,60
19369402,rabbit,4,40
19369402,rabbit,5,40
19369402,pigeon,0,45
19369402,pigeon,1,20
19369402,pigeon,2,45
19369402,pigeon,3,20
19369402,pigeon,4,19
19369402,pigeon,5,30
19369402,mouse,0,70
19369402,mouse,1,90
19369402,mouse,2,95
19369402,mouse,3,90
19369402,mouse,4,95
19369402,mouse,5,90
68986594,mouse,0,78
68986594,mouse,1,65
68986594,mouse,2,70
68986594,mouse,3,46
68986594,mouse,4,63
68986594,mouse,5,71
68986594,rabbit,0,70
68986594,rabbit,1,68
68986594,rabbit,2,87
68986594,rabbit,3,74
68986594,rabbit,4,64
68986594,rabbit,5,65
68986594,pigeon,0,51
68986594,pigeon,1,59
68986594,pigeon,2,55
68986594,pigeon,3,44
68986594,pigeon,4,51
68986594,pigeon,5,54
59547967,pigeon,0,50
59547967,pigeon,1,50
59547967,pigeon,2,40
59547967,pigeon,3,55
59547967,pigeon,4,70
59547967,pigeon,5,80
59547967,mouse,0,65
59547967,mouse,1,35
59547967,mouse,2,65
59547967,mouse,3,85
59547967,mouse,4,90
59547967,mouse,5,75
59547967,rabbit,0,85
59547967,rabbit,1,75
59547967,rabbit,2,80
59547967,rabbit,3,90
59547967,rabbit,4,85
59547967,rabbit,5,65
99885096,rabbit,0,90
99885096,rabbit,1,50
99885096,rabbit,2,85
99885096,rabbit,3,90
99885096,rabbit,4,100
99885096,rabbit,5,100
99885096,pigeon,0,100
99885096,pigeon,1,100
99885096,pigeon,2,90
99885096,pigeon,3,100
99885096,pigeon,4,90
99885096,pigeon,5,100
99885096,mouse,0,80
99885096,mouse,1,100
99885096,mouse,2,40
99885096,mouse,3,61
99885096,mouse,4,30
99885096,mouse,5,80
47970729,mouse,0,40
47970729,mouse,1,50
47970729,mouse,2,60
47970729,mouse,3,80
47970729,mouse,4,80
47970729,mouse,5,50
47970729,rabbit,0,50
47970729,rabbit,1,60
47970729,rabbit,2,80
47970729,rabbit,3,50
47970729,rabbit,4,60
47970729,rabbit,5,50
47970729,pigeon,0,40
47970729,pigeon,1,30
47970729,pigeon,2,50
47970729,pigeon,3,60
47970729,pigeon,4,50
47970729,pigeon,5,60
